0,1,2,3,4,5
运用条件,边坡级别,边坡级别,边坡级别,边坡级别,边坡级别
运用条件,1,2,3,4,5
正常运用条件,1.30~1.25,1.25~1.20,1.20~1.15,1.15~1.10,1.10~1.05
非常运用条件Ⅰ,1.25~1.20,1.20~1.15,1.15~1.10,1.10~1.05,1.10~1.05
非常运用条件Ⅱ,1.15~1.10,1.10~1.05,1.10~1.05,1.05~1.00,1.05~1.00
