0,1,2,3,4
运用条件,坝的级别,坝的级别,坝的级别,坝的级别
运用条件,1级,2级,3级,4级、5级
正常运用条件,1.50,1.35,1.30,1.25
非常运用条件Ⅰ,1.30,1.25,1.20,1.15
非常运用条件Ⅱ,1.20,1.15,1.15,1.10
