0,1,2,3,4
柱类型,抗震等级,抗震等级,抗震等级,抗震等级
柱类型,一级,二级,三级,四级
中柱、边柱,0.90 (1.00),0.70 (0.80),0.60 (0.70),0.50 (0.60)
角柱、框支柱,1. 10,0.9,0.8,0.7
