0,1,2,3,4,5,6,7,8
牌号或种类,热轧钢筋,热轧钢筋,热轧钢筋,热轧钢筋,冷轧带肋钢筋,冷轧带肋钢筋,预应力筋,预应力筋
牌号或种类,HPB300,HRB400 HRBF400 HRB500 HRBF500,HRB400E HRB500E,RRB400,CRB550,CRB600H,中强度预应力钢丝、 预应力冷轧带肋钢筋,消除应力钢丝、钢绞线、预应力螺纹钢筋
最大力总延伸率限值,10,7.5,9,5,2.5,5,4,4.5
