0,1,2,3
抗震等级,加密区长度（取较大值） (mm),箍筋最大间距（取最小值） (mm),箍筋最小直径 (mm)
一,"2.0hb,500","hb/4,6d,100",10
二,"1.5hb,500","hb/4,8d,100",8
三,"1.5hb,500","hb/4,8d,150",8
四,"1.5hb,500","hb/4,8d,150",6
