0,1,2
抗震等级,位置,位置
抗震等级,支座（取较大值）,跨中（取较大值）
一级,0.40和80ft/fy,0.30和65ft/fy
二级,0.30和65ft/fy,0.25和55ft/fy
三、四级,0.25和55ft/fy,0.20和45ft/fy
