0,1,2
环境条件,水溶性氯离子最大含量 （%，按胶凝材料用量的质量百分比计）,水溶性氯离子最大含量 （%，按胶凝材料用量的质量百分比计）
环境条件,钢筋混凝土,预应力混凝土
干燥环境,0.3（%）,0.06（%）
潮湿但不含氯离子的环境,0.2（%）,0.06（%）
