0,1,2,3
接头等级,I级,Ⅱ级,Ⅲ级
接头的实测极限抗拉强度fmst,接头的实测极限抗拉强度fmst≥钢筋极限抗拉强度标准值 钢筋拉断fstk；或 接头的实测极限抗拉强度fmst≥1.10钢筋极限抗拉强度标准值fstk 连接件破坏,fmst≥fstk,Jms≥1.25 fyk
