0,1,2,3,4,5
进水口建筑物级别,进水口建筑物级别,1级,2级,3级,4级、5级
特征挡水位,设计水位,0.7m,0.5m,0.4m,0.3m
特征挡水位,校核水位,0.5m,0.4m,0.3m,0.2m
