0,1,2,3,4,5
抗剪断强度计算,抗剪断强度计算,抗剪断强度计算,抗剪强度计算,抗剪强度计算,抗剪强度计算
基本组合,特殊组合Ⅰ,特殊组合Ⅱ,基本组合,特殊组合Ⅰ,特殊组合Ⅱ
3,2.5,2.3,1.1,1.05,1
