0,1,2,3,4,5,6
项 目,项 目,永久性水工建筑物级别,永久性水工建筑物级别,永久性水工建筑物级别,永久性水工建筑物级别,永久性水工建筑物级别
项 目,项 目,1,2,3,4,5
设计-重现期（年),设计-重现期（年),1000~500,500~ 100,100~505,50~30,30~20
校核洪水标准 ［重现期（年)],土石坝,可能最大洪水 （PMF）或 10000~5000,5000~ 2000,2000~ 1000,1000~ 300,300~ 200
校核洪水标准-重现期（年）,混凝土坝、 浆砌石坝,5000~2000,2000~ 1000,1000~ 500,500~ 200,200~ 100
