0,1,2,3,4,5
级别,保护对象,失事后果,使用年限 （年）,临时性挡水建筑物规模,临时性挡水建筑物规模
级别,保护对象,失事后果,使用年限 （年）,围堰高度（ m）,库容 （108m3）
3,有特殊要求的 1级永久性水工 建筑物,淹没重要城镇、工矿企 业、交通干线或推迟工程总 工期及第一台（批）机组发 电，推迟工程发挥效益，造 成重大灾害和损失,>3,>50,>1.0
