0,1,2,3
设计流量(m3/s),装机功率（MW）,主要建筑物,次要建筑物
≥50,≥30,1,3
<50，≥10,"<30,≥10",2,3
"<10,≥3","<10,≥1",3,4
"<3,≥1","<1, ≥0.1",4,5
<1,<0.1,5,5
