0,1,2,3,4,5,6
水电站厂房级别,水电站厂房级别,1,2,3,4,5
山区、丘陵区-重现期（年）,设计,200,200~100,100~50,50~30,30~20
山区、丘陵区 -重现期（年）,校核,1000,500,200,100,50
平原、滨海区-重现期（年）,设计,300~100,100~50,50~20,20~10,10
平原、滨海区-重现期（年）,校核,2000~1000,1000~300,300~100,100~50,50~20
