0,1,2,3
设计流量(m²/s),装机功率（MW）,主要建筑物,次要建筑物
≥200,≥30,1,3
<200，≥50,"<30,≥10",2,3
"<50,≥10","<10,≥1",3,4
"<10,≥2","<1, ≥0.1",4,5
<2,<0.1,5,5
