0,1,2,3,4,5
项 目,永久性水工建筑物级别,永久性水工建筑物级别,永久性水工建筑物级别,永久性水工建筑物级别,永久性水工建筑物级别
项 目,1,2,3,4,5
设计-重现期（年）,300~100,100~50,50~20,20~10,10
校核洪水标准-重现期（年）,2000～1000,1000~300,300~100,100~50,50~20
