0,1,2,3,4
坝型,坝型,大坝级别,大坝级别,大坝级别
坝型,坝型,1,2,3
混凝土坝、浆砌石坝 -重现期（年）,设计,200～100,100~50,50~20
混凝土坝、浆砌石坝-重现期（年）,校核,500~200,200~100,100~50
土石坝-重现期（年）,设计,500~200,200~100,100~50
土石坝-重现期（年）,校核,1000~500,500~200,200~100
