0,1,2,3
建筑物结构类型,临时性水工建筑物级别,临时性水工建筑物级别,临时性水工建筑物级别
建筑物结构类型,3,4,5
土石结构-重现期 （年),50~ 20,20~10,10~5
混凝土、浆砌石结构-重现期（年）,20~10,10~5,5~3
