0,1,2,3
地段类型,构造活动性,场地地基和边坡稳定性,发生次生灾害危险性
有利地段,近场区25km范围内无活动断层，场址地震基本烈度为Ⅵ度,好,小
一般地段,近场区5km范围内无活动断层，场址地震基本烈度为Ⅶ度,较好,较小
不利地段,近场区5km范围内有长度小于10km的活动断层；有震级小于5.0级发震构造。场址地震基本烈度为Ⅷ度,较差,较大
危险地段,近场区5km范围内有长度大于或等于10km的活动断层；有震级大于或等于5级发震构造。场址地震基本烈度为Ⅸ度,差,大
