0,1,2,3,4,5,6,7
混凝土强度等级,C5,C7.5,C10,C15,C20,C25,C30
常规混凝土,,9.1,11.8,17.2,22.2,26.9,31.4
碾压混凝土,8.6,12.5,16.2,23.5,30.4,37.2,
