0,1,2,3,4,5
Ⅱ类场地基本地震动加速度反应谱特征周期分区值,场地类别,场地类别,场地类别,场地类别,场地类别
Ⅱ类场地基本地震动加速度反应谱特征周期分区值,Ⅰ0,Ⅰ1,Ⅱ,Ⅲ,Ⅳ
0.35s,0.20s,0.25s,0.35s,0.45s,0.65s
0.40s,0.25s,0.30s,0.40s,0.55s,0.75s
0.45s,0.30s,0.35s,0.45s,0.65s,0.90s
