0,1,2
工程抗震设防类别,建筑物级别,场地地震基本烈度
甲类,1级（壅水和重要泄水）,≥Ⅵ度
乙类,1级（非壅水）、2级（壅水）,≥Ⅵ度
丙类,2级（非壅水）、3级,≥Ⅶ度
丁类,4级、5级,≥Ⅶ度
