0,1,2
场地土类型,剪切波速范围,代表性岩土名称和性状
硬岩,剪切波速范围>800m/s,坚硬、较硬且完整的岩石
软岩、坚硬场地土,800≥剪切波速范围>500,破碎和较破碎或软和较软的岩石，密实的砂卵石
中硬场地土,500≥剪切波速范围>250,中密、稍密的砂卵石，密实的粗砂、中砂，坚硬的黏土和粉土
中软场地土,250≥剪切波速范围>150,稍密的砾石、粗砂、中砂、细砂和粉砂，一般黏土和粉土
软弱场地土,剪切波速范围≤150,淤泥，淤泥质土，松散的砂土，人工杂填土
