0,1
地基土类别,井壁单位面积摩阻力
泥浆套,3~5kPa
软土,10~12kPa
较软黏性土,12~25kPa
较硬黏性土,25~50kPa
砂性土,12~25kPa
砂砾石,15~20kPa
砂卵石,18~30kPa
