0,1,2
地基土类别,剪切试验方法,剪切试验方法
地基土类别,饱和快剪,饱和固结快剪
N63.5≥4击的黏土和壤土,验算施工期不超过一年的完建期地基强度,验算运用期和施工期超过一年的完建期地基强度
N63.5<4击的软土和软土夹薄层砂等,验算尚未完全固结状态的地基强度,验算完全固结状态的地基强度
N63.5>8击的砂土和砂壤土,验算施工期不超过一年或土层较厚的完建期地基强度(直接快剪),验算运用期和施工期超过一年或土层较薄的完建期地基强度
N63.5≤8击的松砂、砂壤土和粉细砂夹薄层软土等,验算施工期不超过一年或土层较厚的完建期地基强度(三轴不排水剪),验算运用期和施工期超过一年或土层较薄的完建期地基强度
