0,1,2,3
颗粒骨架,密实度,密实度,密实度
颗粒骨架,密实,中密,稍密
卵石,1000~800kPa,800~500kPa,500~300kPa
碎石,900~700kPa,700~400kPa,400~250kPa
圆砾,700~500kPa,500~300kPa,300~200kPa
角砾,600~400kPa,400~250kPa,250~150kPa
