0,1,2
土质地基类别,摩擦角,黏结力
黏性土,0.9倍室内饱和固结快剪(黏性土)或饱和快剪(砂性土)试验测得的内摩擦角,（0.2~0.3）倍室内饱和固结快剪试验测得的黏结力kPa
砂性土,（0.80~0.9）倍室内饱和固结快剪(黏性土)或饱和快剪(砂性土)试验测得的内摩擦角,
