0,1,2,3,4,5,6,7,8,9,10
排水条件,地基类别,地基类别,地基类别,地基类别,地基类别,地基类别,地基类别,地基类别,地基类别,地基类别
排水条件,粉砂,细砂,中砂,粗砂,中砾、细砾,粗砾夹卵石,轻粉质砂壤土,轻砂壤土,壤土,黏土
有滤层,13~9,9~7,7~5,5~4,4~3,3~2.5,11~7,9~5,5~3,3~2
无滤层,,,,,,,,,7~4,4~3
