0,1,2
地基类别,地基类别,摩擦系数
黏土,软弱,0.20~0.25
黏土,中等坚硬,0.25~0.35
黏土,坚硬,0.35~0.45
壤土、粉质壤土,壤土、粉质壤土,0.25~0.40
砂壤土、粉砂土,砂壤土、粉砂土,0.35~0.40
细砂、极细砂,细砂、极细砂,0.40~0.45
中砂、粗砂,中砂、粗砂,0.45~0.50
砂砾石,砂砾石,0.40~0.5
砾石、卵石,砾石、卵石,0.50~0.55
碎石土,碎石土,0.40~0.50
软质岩石,极软,0.40~0.45
软质岩石,软,0.45~0.55
软质岩石,较软,0.55~0.60
硬质岩石,较坚硬,0.60~0.65
硬质岩石,坚硬,0.65~0.70
