0,1,2,3,4,5
岩石类别,风化程度,风化程度,风化程度,风化程度,风化程度
岩石类别,未风化,微风化,弱风化,强风化,全风化
硬质岩石,≥4000kPa,4000~3000kPa,3000~1000kPa,1000~500kPa,<500kPa
软质岩石,≥2000kPa,2000~1000kPa,1000~500kPa,500~200kPa,<200kPa
