0,1,2,3,4,5,6,7,8
水温 (℃),0 (℃),5 (℃),10 (℃),15 (℃),20 (℃),25 (℃),30 (℃),40 (℃)
水的气化压力水柱hv (m),0.06 (m),0.09 (m),0.13 (m),0.17 (m),0.24 (m),0.32 (m),0.43 (m),0.75 (m)
