0,1,2,3,4,5,6
结构安全级别,塌落型块体,塌落型块体,塌落型块体,滑移型块体,滑移型块体,滑移型块体
结构安全级别,持久状况,短暂状况,偶然状况,持久状况,短暂状况,偶然状况
I,2.00 ,1.90 ,1.70 ,1.80 ,1.65 ,1.50 
Ⅱ,1.90 ,1.70 ,1.60 ,1.65 ,1.50 ,1.40 
III,1.70 ,1.60 ,1.50 ,1.50 ,1.35 ,1.25 
