0,1,2,3,4,5,6,7,8
耐火 等级,建筑物名称 及类别,建筑物名称 及类别,建筑物体积（m3）,建筑物体积（m3）,建筑物体积（m3）,建筑物体积（m3）,建筑物体积（m3）,建筑物体积（m3）
耐火 等级,建筑物名称 及类别,建筑物名称 及类别,≤1500 （m3）,1501~ 3000（m3）,3001~ 5000（m3）,5001~20000（m3）,20001~ 50000 （m3）,>50000（m3）
一级、 二级,厂房,丁、戊,15（L/s）,15（L/s）,15（L/s）,15（L/s）,20001~ 50000 15,20（L/s）
一级、 二级,库房,丙,15（L/s）,15（L/s）,25（L/s）,25（L/s）,35（L/s）,45（L/s）
一级、 二级,库房,丁、戌,15（L/s）,15（L/s）,15（L/s）,15（L/s）,15（L/s）,20（L/s）
一级、 二级,其他建筑,其他建筑,15（L/s）,15（L/s）,15（L/s）,25（L/s）,30（L/s）,40（L/s）
三级,库房,丙,15（L/s）,20（L/s）,30（L/s）,40（L/s）,45（L/s）,一
三级,库房,厂、戊,15（L/s）,13（L/s）,15（L/s）,20（L/s）,45（L/s）,35（L/s）
三级,其他建筑,其他建筑,15（L/s）,15（L/s）,20（L/s）,25（L/s）,30（L/s）,一
