0,1,2,3,4
电压等级,三十五kV及以下,六十六kV,一百一十kV,二百二十kV-五百kV
三十五kV及以下,5（m）,6（m）,8（m）,10（m）
六十六kV,6（m）,6（m）,8（m）,10（m）
一百一十kV,8（m）,8（m）,8（m）,10（m）
二百二十kV-五百kV,10（m）,10（m）,10（m）,10（m）
