0,1,2,3
牌号,公称直径d（mm）,屈服强度标准值,极限强度标准值fsk
HPB300,6~22,300（N/mm2）,420（N/mm2）
HRB400,6~50,400（N/mm2）,540（N/mm2）
RRB400,8~50,400（N/mm2）,540（N/mm2）
HRB500,6~50,500（N/mm2）,630（N/mm2）
