0,1,2,3,4
柱类型,设计烈度,设计烈度,设计烈度,设计烈度
柱类型,6度,7度,8度,9度
中柱、边柱,0.65（%）,0.75（%）,0.85（%）,1.05（%）
角柱、框支柱,0.75（%）,0.85（%）,0.95（%）,1.15（%）
