0,1,2,3,4,5
设计烈度,设计烈度,9度,8度,7度,6度
钢筋种类,HPB300,0.18（%）,0.15（%）,0.13（%）,0.12（%）
钢筋种类,HRB400 HRB500,0.15（%）,0.13（%）,0.12（%）,0.11（%）
