0,1,2
锚具类别,锚具类别,张拉端锚具变形和预应力筋内缩值
支承式锚具（钢丝束镦头锚具等）,螺帽缝隙,1（mm）
支承式锚具（钢丝束镦头锚具等）,每块后加垫板的缝隙,1（mm）
夹片式锚具,有顶压时,5（mm）
夹片式锚具,无顶压时,6~8（mm）
