0,1,2,3,4,5
项次,钢筋类型,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级
项次,钢筋类型,C20,C25,C30、C35,≥C40
1,HPB300,40d,35d,30d,25d
2,HRB400、RRB400,50d,40d,35d,30d
3,HRB500,,,45d,35d
