0,1,2,3,4,5,6
项次,气候分区,严寒,严寒,寒冷,寒冷,温和
项次,年冻融循环次数（次）,≥100,<100,≥100,<100,
1,结构重要、受冻严重且难于检修的部位： （1）水电站尾水部位，蓄能电站进出口冬 季水位变化区的构件、闸门槽二期混凝土、轨 道基础： （2）冬季通航或受电站尾水位影响的不通 航船闸水位变化区的构件、二期混凝土； （3）流速大于25m/s、过冰、多沙或多推 移质的溢洪道、深孔或其他输水部位的过水面 及二期混凝土； （4）冬季有水的露天钢筋混凝土压力水管、 渡槽、薄壁充水闸门井,F400,F300,F300,F200,F100
2,受冻严重但有检修条件的部位：,F300,F250,F200,F150,F50
