0,1,2
楼盖类型,柱的类别,计算长度
现浇楼盖,底层柱,1.0H
现浇楼盖,其余各层柱,1.25H
装配式楼盖,底层柱,1.25H
装配式楼盖,其余各层柱,1.5H
