0,1,2,3,4
柱的类别,柱的类别,计算长度,计算长度,计算长度
柱的类别,柱的类别,排架方向,垂直排架方向,垂直排架方向
柱的类别,柱的类别,排架方向,有柱间支撑,无柱间支撑
无吊车厂房柱,单跨,1.5H,1.0H,1.2H
无吊车厂房柱,两跨及多跨,1.25H,1.0H,1.2H
有吊车厂房柱,上柱,2.0Hu,1.25Hu,1.5Hu
有吊车厂房柱,下柱,1.0Hl,0.8Hl,1.0Hl
露天吊车和栈桥柱,露天吊车和栈桥柱,2.0Hl,1.0Hl,一
