0,1,2,3
项次,构件类型,构件类型,挠度限值
1,吊车梁,手动吊车,构件的计算跨度/500
1,吊车梁,电动吊车,构件的计算跨度/600
2,渡槽槽身和架空管道,当构件的计算跨度≤10m时,构件的计算跨度/400
2,渡槽槽身和架空管道,当构件的计算跨度>10m时,构件的计算跨度/500（构件的计算跨度/600）
3,工作桥及启闭机下大梁,工作桥及启闭机下大梁,构件的计算跨度/400
4,屋盖、楼盖,当构件的计算跨度<7m时,构件的计算跨度/200（构件的计算跨度/250）
4,屋盖、楼盖,当7m≤构件的计算跨度≤9m时,构件的计算跨度/250（构件的计算跨度/300）
4,屋盖、楼盖,当构件的计算跨度≥9m时,构件的计算跨度/300(构件的计算跨度/400)
