0,1,2,3,4,5,6
加密区区段,抗震设计烈度和场地类别,抗震设计烈度和场地类别,抗震设计烈度和场地类别,抗震设计烈度和场地类别,抗震设计烈度和场地类别,抗震设计烈度和场地类别
加密区区段,9度,8度,8度,7度,7度,6度
加密区区段,各类场地,III、IV类 场地,I、类 场地,IⅢI、IV类 场地,I、II类 场地,各类场地
一般柱顶、柱根区段,8(10)（mm）,8(10)（mm）,8（mm）,8（mm）,6（mm）,6（mm）
角柱柱顶,10（mm）,10（mm）,10（mm）,10（mm）,8（mm）,8（mm）
吊车梁、牛腿区段有支撑的柱根区段,10（mm）,10（mm）,8（mm）,8（mm）,8（mm）,8（mm）
有支撑的柱顶区段柱变位受约束的部位,10（mm）,10（mm）,10（mm）,10（mm）,8（mm）,8（mm）
