0,1,2,3,4
项次,分类,分类,钢筋强度等级,钢筋强度等级
项次,分类,分类,HPB300,HRB400、 RRB400、HRB500
1,受弯构件、偏心受拉、轴 心受拉构件一侧受拉钢筋,梁,0.25（%）,0.2（%）
1,受弯构件、偏心受拉、轴 心受拉构件一侧受拉钢筋,板,0.2（%）,0.15（%）
2,受压构件全部纵向钢筋,受压构件全部纵向钢筋,0.6（%）,0.55（%）
3,受压构件一侧纵向钢筋,柱、肋拱,0.25（%）,0.2（%）
3,受压构件一侧纵向钢筋,墩墙、板拱,0.2（%）,0.15（%）
