0,1,2,3
素混凝土结构构件,素混凝土结构构件,素混凝土结构构件,钢筋混凝土及预应力混凝土结构
受拉破坏,受压破坏,受剪破坏,钢筋混凝土及预应力混凝土结构
2,1.3,1.8,1.2
