0,1,2,3
钢筋种类,纵向受拉钢筋,水平分布钢筋,竖向分布钢筋
HPB300,0.25（0.25)（%）,0.25(0.15)（%）,0.20(0.15)（%）
HRB400、RRB400、HRB500,0.20（0.20)（%）,0.20(0.10)（%）,0.15(0.10)（%）
