0,1,2,3,4
环境类别,素混凝土,钢筋混凝土,预应力混凝土,预应力混凝土
环境类别,素混凝土,钢筋混凝土,螺纹钢筋、中强 度预应力钢丝,钢绞线、消除应力钢丝
一,C20,C25,C30,C40
二,C20,C25,C30,C40
三,C20,C25,C35,C40
四,C25,C35,C40,C40
五,C30,C40,C40,C40
