0,1,2,3,4,5,6,7,8,9,10
强度,符号,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级
强度,符号,C20,C25,C30,C35,C40,C45,C50,C55,C60
轴心抗压,fck,13.4（N/mm2）,16.7（N/mm2）,20.1（N/mm2）,23.4（N/mm2）,26.8（N/mm2）,29.6（N/mm2）,32.4（N/mm2）,35.5（N/mm2）,38.5（N/mm2）
轴心抗拉,ftk,1.54（N/mm2）,1.78（N/mm2）,2.01（N/mm2）,2.2（N/mm2）,2.39（N/mm2）,2.51（N/mm2）,2.64（N/mm2）,2.74（N/mm2）,2.85（N/mm2）
