0,1,2,3,4,5,6,7,8,9,10
强度,符号,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级,混凝土强度等级
强度,符号,C20,C25,C30,C35,C40,C45,C50,C55,C60
轴心抗压,fc,9.6（N/mm2）,11.9（N/mm2）,14.3（N/mm2）,16.7（N/mm2）,19.1（N/mm2）,21.1（N/mm2）,23.1（N/mm2）,25.3（N/mm2）,27.5（N/mm2）
轴心抗拉,ft,1.1（N/mm2）,1.27（N/mm2）,1.43（N/mm2）,1.57（N/mm2）,1.71（N/mm2）,1.8（N/mm2）,1.89（N/mm2）,1.96（N/mm2）,2.04（N/mm2）
