0,1,2,3,4,5,6,7,8
设计烈度,箍筋形式,压比轴,压比轴,压比轴,压比轴,压比轴,压比轴,压比轴
设计烈度,箍筋形式,≤0.3,0.4,0.5,0.6,0.7,0.8,0.9
9度,普通箍、复合箍,0.8（%）,0.9（%）,1.05（%）,1.2（%）,1.35（%）,,
8度,普通箍、复合箍,0.65（%）,0.7（%）,0.9（%）,1.05（%）,1.2（%）,1.35（%）,
7度,普通箍、复合箍,0.5（%）,0.55（%）,0.7（%）,0.9（%）,1.05（%）,1.2（%）,1.35（%）
