0,1,2,3
环境类别,构件类别,构件类别,构件类别
环境类别,墙、板,梁、柱、墩,截面厚度不小于2.5m 的底板及墩墙
一,20（mm）,25（mm）,30（mm）
二,25（mm）,35（mm）,40（mm）
三,30（mm）,45（mm）,50（mm）
四,45（mm）,55（mm）,60（mm）
五,50（mm）,60（mm）,65（mm）
