0,1,2,3,4,5,6,7,8,9
混凝土强度等级,C20,C25,C30,C35,C40,C45,C50,C55,C60
Ec（×104N/mm2）,2.55（×104N/mm2）,2.8（×104N/mm2）,3（×104N/mm2）,3.15（×104N/mm2）,3.25（×104N/mm2）,3.35（×104N/mm2）,3.45（×104N/mm2）,3.55（×104N/mm2）,3.6（×104N/mm2）
