0,1
钢筋牌号或种类,弹性模量Es
HPB300钢筋,2.1x105（N/mm2）
HRB400、RRB400、HRB500钢筋,2.0×105（N/mm2）
中强度预应力钢丝、预应力螺纹钢筋,2.0×105（N/mm2）
消除应力钢丝,2.05×105（N/mm2）
钢绞线,1.95×105（N/mm2）
