0,1,2
环境类别,裂缝控制等级,最大裂缝宽度限值或混凝土拉应力限制系数
一,三级,最大裂缝宽度限值=0.2mm
二,二级,混凝土拉应力限制系数=0.7
三、四、五,一级,混凝土拉应力限制系数=0.0
