0,1,2,3
项次,结构类型及运用条件,结构类型及运用条件,抗渗等级
1,大体积混凝土结构的下游面及建筑物内部,大体积混凝土结构的下游面及建筑物内部,W2
2,大体积混凝土结构的挡水 面,水头（m）<30,W4
2,大体积混凝土结构的挡水 面,30≤水头（m）<70,W6
2,大体积混凝土结构的挡水 面,70≤水头（m）<150,W8
2,大体积混凝土结构的挡水 面,水头（m）≥150,W10
3,素混凝土及钢筋混凝土结 构构件的背水面能自由渗 水者,水力梯度<10,W4
3,素混凝土及钢筋混凝土结 构构件的背水面能自由渗 水者,10≤水力梯度<30,W6
3,素混凝土及钢筋混凝土结 构构件的背水面能自由渗 水者,30≤水力梯度<50,W8
3,素混凝土及钢筋混凝土结 构构件的背水面能自由渗 水者,水力梯度≥50,W10
