0,1,2
牌号,抗拉强度设计值fy,抗压强度设计值fyc
HPB300,270（N/mm2）,270（N/mm2）
HRB400,360（N/mm2）,360（N/mm2）
RRB400,360（N/mm2）,360（N/mm2）
HRB500,435（N/mm2）,435（N/mm2）
