0,1,2,3,4,5
级别,保护对象,失事后果,使用年限,导流建筑物规模,导流建筑物规模
级别,保护对象,失事后果,使用年限,围堰高度,库容
3,有特殊要求的1级永久性水工建筑物,淹没重要城镇、工矿企业、交通干线或推迟工程总工期及第一台（批）机组发电，造成重大灾害和损失,>3年,>50m,>1.0亿m³
4,1级、2级永久性水工建筑物,淹没一般城镇、工矿企业或影响工程总工期和第一台（批）机组发电，造成较大经济损失,1.5~3年,15~50m,0.1~1.0亿m³
5,3级、4级永久性水工建筑物,淹没基坑。但对总工期及第一台（批）机组发电影响不大，经济损失较小,<1.5年,<15m,<0.1亿m³
