0,1,2,3,4
坝型,坝型,大坝级别,大坝级别,大坝级别
坝型,坝型,1,2,3
土石坝,设计,500~200年,200~100年,100~50年
土石坝,校核,1000~500年,500~200年,200~100年
混凝土坝、浆砌石坝,设计,200~100年,100~50年,50~20年
混凝土坝、浆砌石坝,校核,500~200年,200~100年,100~50年
