0,1,2,3,4
坝型,拦洪库容,拦洪库容,拦洪库容,拦洪库容
坝型,>10.0×108m³,10.0~1.0×108m³,1.0~0.1×108m³,<0.1×108m³
土石坝,≥200年,200~100年,100~50年,50~20年
混凝土坝、浆砌石坝,≥100年,100~50年,50~20年,20~10年
