0,1,2,3
导流建筑物类型,导流建筑物级别,导流建筑物级别,导流建筑物级别
导流建筑物类型,3,4,5
土石结构,50~20年,20~10年,10~5年
混凝土、浆砌石结构,20~10年,10~5年,5~3年
