0,1,2,3
垫层的厚度与基础地面的宽度之比,垫层材料,垫层材料,垫层材料
垫层的厚度与基础地面的宽度之比,中砂、粗砂、砾砂、碎石土、石屑,素土,灰土
0.25,20°,6°,30°
≥0.50,30°,23°,
