0,1,2
土质地基类别,摩擦角,粘结力
粘性土,0.9倍室内饱和固结快剪试验测得的内摩擦角,（0.2-0.3）倍室内饱和固结快剪试验测得的粘结力
砂性土,（0.85-0.9）倍室内饱和固结快剪试验测得的内摩擦角,0
