0,1,2,3,4,5,6,7,8,9,10
荷载组合,荷载组合,土质地基,土质地基,土质地基,土质地基,岩石地基,岩石地基,岩石地基,岩石地基,岩石地基
荷载组合,荷载组合,挡土墙级别,挡土墙级别,挡土墙级别,挡土墙级别,按公式（6.3.5-1）计算时,按公式（6.3.5-1）计算时,按公式（6.3.5-1）计算时,按公式（6.3.5-1）计算时,按公式（6.3.6）计算时
荷载组合,荷载组合,1,2,3,4,1,2,3,4,按公式（6.3.7）计算时
基本组合,基本组合,1.35,1.3,1.25,1.2,1.1,1.08,1.08,1.05,3
特殊组合,特殊组合Ⅰ,1.2,1.15,1.1,1.05,1.05,1.03,1.03,1,2.5
特殊组合,特殊组合Ⅱ,1.1,1.05,1.05,1,1,1,1,1,2.3
